ID,VIDEO,LABEL,CATEGORY
1,D0001N.mp4,địa chỉ,Cụm từ và từ nâng cao
2,D0001B.mp4,địa chỉ,Cụm từ và từ nâng cao
3,D0001T.mp4,địa chỉ,Cụm từ và từ nâng cao
4,D0003.mp4,tiếp tân,Cụm từ và từ nâng cao
5,D0004.mp4,nhân viên,Cụm từ và từ nâng cao
6,D0002.mp4,tỉnh,Cụm từ và từ nâng cao
7,D0005B.mp4,Miến Điện (nước Mi-an-ma),Cụm từ và từ nâng cao
8,D0005N.mp4,Miến Điện (nước Mi-an-ma),Cụm từ và từ nâng cao
9,D0005T.mp4,Miến Điện (nước Mi-an-ma),Cụm từ và từ nâng cao
10,D0006.mp4,Ma Cao,Cụm từ và từ nâng cao
11,D0007.mp4,Do Thái,Cụm từ và từ nâng cao
12,D0008.mp4,Ả Rập (nước Ả Rập),Cụm từ và từ nâng cao
13,D0009.mp4,phương Tây,Cụm từ và từ nâng cao
14,D0010.mp4,phương Đông,Cụm từ và từ nâng cao
15,D0011.mp4,Đu Bai (nước Đu Bai),Cụm từ và từ nâng cao
16,D0013.mp4,người nước ngoài,Cụm từ và từ nâng cao
17,D0012.mp4,Albania (nước Albania),Cụm từ và từ nâng cao
18,D0014.mp4,nhập khẩu,Cụm từ và từ nâng cao
19,D0015.mp4,Tuy Hoà,Cụm từ và từ nâng cao
20,D0016.mp4,Quy Nhơn,Cụm từ và từ nâng cao
21,D0017.mp4,hấp dẫn,Cụm từ và từ nâng cao
22,D0018.mp4,nổi da gà,Cụm từ và từ nâng cao
23,D0019B.mp4,ghen tị,Cụm từ và từ nâng cao
24,D0019N.mp4,ghen tị,Cụm từ và từ nâng cao
25,D0019T.mp4,ghen tị,Cụm từ và từ nâng cao
26,D0020B.mp4,lung tung,Cụm từ và từ nâng cao
27,D0020N.mp4,lung tung,Cụm từ và từ nâng cao
28,D0022.mp4,cười nhếch mép,Cụm từ và từ nâng cao
29,D0021.mp4,hói đầu,Cụm từ và từ nâng cao
30,D0020T.mp4,lung tung,Cụm từ và từ nâng cao
31,D0023.mp4,cười vỡ bụng,Cụm từ và từ nâng cao
32,D0024B.mp4,tham ăn,Cụm từ và từ nâng cao
33,D0024N.mp4,tham ăn,Cụm từ và từ nâng cao
34,D0024T.mp4,tham ăn,Cụm từ và từ nâng cao
35,D0026.mp4,thèm,Cụm từ và từ nâng cao
36,D0027.mp4,thèm rỏ dãi,Cụm từ và từ nâng cao
37,D0028.mp4,đứng đầu (hàng đầu),Cụm từ và từ nâng cao
38,D0029B.mp4,thói quen,Cụm từ và từ nâng cao
39,D0029N.mp4,thói quen,Cụm từ và từ nâng cao
40,D0029T.mp4,thói quen,Cụm từ và từ nâng cao
41,D0030.mp4,khuyến khích,Cụm từ và từ nâng cao
42,D0031B.mp4,không nghe lời,Cụm từ và từ nâng cao
43,D0031N.mp4,không nghe lời,Cụm từ và từ nâng cao
44,D0031T.mp4,không nghe lời,Cụm từ và từ nâng cao
45,D0032.mp4,ai cho,Cụm từ và từ nâng cao
46,D0033B.mp4,không cho,Cụm từ và từ nâng cao
47,D0033N.mp4,không cho,Cụm từ và từ nâng cao
48,D0033T.mp4,không cho,Cụm từ và từ nâng cao
49,D0034.mp4,không cần,Cụm từ và từ nâng cao
50,D0035B.mp4,không nên,Cụm từ và từ nâng cao
51,D0035N.mp4,không nên,Cụm từ và từ nâng cao
52,D0035T.mp4,không nên,Cụm từ và từ nâng cao
53,D0036.mp4,bực mình,Cụm từ và từ nâng cao
54,D0037.mp4,tự giác,Cụm từ và từ nâng cao
55,D0038.mp4,mù chữ,Cụm từ và từ nâng cao
56,D0039.mp4,vô tình,Cụm từ và từ nâng cao
57,D0040B.mp4,Tết hàn thực,Cụm từ và từ nâng cao
58,D0040N.mp4,Tết hàn thực,Cụm từ và từ nâng cao
59,D0041.mp4,giỗ,Cụm từ và từ nâng cao
60,D0040T.mp4,Tết hàn thực,Cụm từ và từ nâng cao
61,D0042B.mp4,ngày Quốc tế phụ nữ 8/3,Cụm từ và từ nâng cao
62,D0042N.mp4,ngày Quốc tế phụ nữ 8/3,Cụm từ và từ nâng cao
63,D0042T.mp4,ngày Quốc tế phụ nữ 8/3,Cụm từ và từ nâng cao
64,D0043B.mp4,ngày giải phóng thủ đô 10/10,Cụm từ và từ nâng cao
65,D0043N.mp4,ngày giải phóng thủ đô 10/10,Cụm từ và từ nâng cao
66,D0043T.mp4,ngày giải phóng thủ đô 10/10,Cụm từ và từ nâng cao
67,D0044B.mp4,ngày Giải phóng miền Nam 30/4,Cụm từ và từ nâng cao
68,D0044T.mp4,ngày Giải phóng miền Nam 30/4,Cụm từ và từ nâng cao
69,D0044N.mp4,ngày Giải phóng miền Nam 30/4,Cụm từ và từ nâng cao
70,D0045B.mp4,ngày Người khuyết tật Việt Nam 18/4,Cụm từ và từ nâng cao
71,D0045N.mp4,ngày Người khuyết tật Việt Nam 18/4,Cụm từ và từ nâng cao
72,D0045T.mp4,ngày Người khuyết tật Việt Nam 18/4,Cụm từ và từ nâng cao
73,D0046B.mp4,ngày Người khuyết tật Thế giới 3/12,Cụm từ và từ nâng cao
74,D0046N.mp4,ngày Người khuyết tật Thế giới 3/12,Cụm từ và từ nâng cao
75,D0046T.mp4,ngày Người khuyết tật Thế giới 3/12,Cụm từ và từ nâng cao
76,D0048B.mp4,lễ Halloween 31/10,Cụm từ và từ nâng cao
77,D0048N.mp4,lễ Halloween 31/10,Cụm từ và từ nâng cao
78,D0048T.mp4,lễ Halloween 31/10,Cụm từ và từ nâng cao
79,D0049B.mp4,ngày Phụ nữ Việt Nam 20/10,Cụm từ và từ nâng cao
80,D0049N.mp4,ngày Phụ nữ Việt Nam 20/10,Cụm từ và từ nâng cao
81,D0049T.mp4,ngày Phụ nữ Việt Nam 20/10,Cụm từ và từ nâng cao
82,D0050B.mp4,ngày thương bình liệt sĩ 27/7,Cụm từ và từ nâng cao
83,D0050N.mp4,ngày thương bình liệt sĩ 27/7,Cụm từ và từ nâng cao
84,D0050T.mp4,ngày thương bình liệt sĩ 27/7,Cụm từ và từ nâng cao
85,D0051B.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3),Cụm từ và từ nâng cao
86,D0051N.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3),Cụm từ và từ nâng cao
87,D0051T.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3),Cụm từ và từ nâng cao
88,D0052B.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9,Cụm từ và từ nâng cao
89,D0052N.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9,Cụm từ và từ nâng cao
90,D0052T.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9,Cụm từ và từ nâng cao
91,D0053B.mp4,tuần lễ người Điếc thế giới,Cụm từ và từ nâng cao
92,D0053N.mp4,tuần lễ người Điếc thế giới,Cụm từ và từ nâng cao
93,D0053T.mp4,tuần lễ người Điếc thế giới,Cụm từ và từ nâng cao
94,D0054B.mp4,ngày của Mẹ,Cụm từ và từ nâng cao
95,D0054N.mp4,ngày của Mẹ,Cụm từ và từ nâng cao
96,D0054T.mp4,ngày của Mẹ,Cụm từ và từ nâng cao
97,D0055B.mp4,ngày của Cha,Cụm từ và từ nâng cao
98,D0055N.mp4,ngày của Cha,Cụm từ và từ nâng cao
99,D0055T.mp4,ngày của Cha,Cụm từ và từ nâng cao
100,D0056B.mp4,ngày gia đình Việt Nam 28/6,Cụm từ và từ nâng cao
